,TTA,Cabang/Site,Umur,Level,Dev,JI,JNI,JobRotation
155,UPG,Cabang,Produktif2,Senior,Overload,Overload,Underload,yes
156,UPG,Cabang,Produktif2,Senior,Overload,Normal,Underload,no
157,JKT,Cabang,Produktif2,Senior,Underload,Normal,Overload,no
158,JKT,Cabang,Produktif2,Senior,Underload,Normal,Overload,no
159,JKT,Cabang,Produktif2,Senior,Underload,Normal,Overload,yes
160,JKT,Cabang,Produktif2,Senior,Underload,Normal,Overload,no
161,JKT,Cabang,Produktif2,Senior,Normal,Normal,Overload,yes
162,JKT,Cabang,Produktif2,Senior,Normal,Normal,Overload,yes
163,PKB,Cabang,Produktif2,Junior,Underload,Normal,Normal,no
164,PKB,Cabang,Produktif2,Senior,Normal,Normal,Overload,yes
165,PKB,Cabang,Produktif2,Senior,Underload,Overload,Overload,no
166,PKB,Cabang,Produktif2,Junior,Underload,Overload,Overload,yes
167,PKB,Cabang,Produktif2,Senior,Underload,Overload,Overload,yes
168,PKB,Cabang,Produktif2,Senior,Underload,Normal,Overload,yes
169,SMD,Cabang,Produktif2,Senior,Underload,Underload,Overload,no
170,SMD,Cabang,Produktif2,Senior,Normal,Normal,Overload,no
171,SMD,Cabang,Produktif2,Senior,Normal,Normal,Overload,no
172,UPG,Cabang,Produktif2,Senior,Normal,Normal,Normal,no
173,MLW,Site,Produktif2,Senior,Underload,Underload,Underload,yes
174,UPG,Cabang,Produktif2,Senior,Underload,Normal,Overload,no
175,MLW,Site,Produktif2,Junior,Underload,Normal,Overload,no
176,BKJ,Site,Produktif2,Senior,Underload,Normal,Overload,no
177,BKJ,Site,Produktif2,Senior,Normal,Normal,Overload,yes
178,BKJ,Site,Produktif2,Senior,Normal,Overload,Normal,yes
179,BKJ,Site,Produktif2,Senior,Normal,Overload,Normal,no
180,BKJ,Site,Produktif2,Senior,Normal,Overload,Overload,yes
181,BKJ,Site,Produktif2,Senior,Normal,Overload,Overload,yes
182,MLW,Site,Produktif2,Junior,Underload,Normal,Overload,no
183,BJM,Cabang,Produktif2,Junior,Underload,Overload,Overload,no
184,BJM,Cabang,Produktif2,Junior,Underload,Normal,Normal,no
185,JKT,Cabang,Produktif2,Junior,Underload,Normal,Overload,no
186,JKT,Cabang,Produktif2,Junior,Normal,Normal,Overload,yes
187,JKT,Cabang,Produktif2,Junior,Normal,Overload,Overload,yes
188,BJM,Cabang,Produktif2,Senior,Normal,Underload,Overload,no
189,BJM,Cabang,Produktif2,Senior,Overload,Normal,Overload,yes
190,BJM,Cabang,Produktif2,Senior,Normal,Overload,Overload,yes
191,JKT,Cabang,Produktif2,Senior,Underload,Normal,Overload,no
