No,Tahun,NRP,TTA,Cabang/Site,Umur,Lama Kerja,Dev,JI,JNI,Total Jam
295,2021,82110031,BLP,Cabang,35,7,318,1442,772,2532
296,2022,82110031,BLP,Cabang,36,8,96,1183,185,1464
297,2020,82111002,SMD,Cabang,41,7,84,286,760,1130
298,2021,82111002,SMD,Cabang,42,8,208,2487,648,3343
299,2022,82111002,SMD,Cabang,43,9,152,1914,440,2506
300,2020,82210002,ADR,Site,35,8,71,1179,471,1721
301,2021,82210002,ADR,Site,36,9,199.5,1639,922,2760.5
302,2022,82210002,ADR,Site,37,10,133,1825.5,277,2235.5
303,2020,84209002,SMD,Cabang,34,6,448,288,696,1432
304,2021,84209002,SMD,Cabang,35,7,512,848,1152,2512
305,2022,84209002,SMD,Cabang,36,8,248,1016,808,2072
306,2020,84210003,SMD,Cabang,40,0,120,552,680,1352
307,2021,84210003,SMD,Cabang,41,1,552,1578,493,2623
308,2022,84210003,SMD,Cabang,42,2,296,1438,428,2162
